Nazwa;Ilość;Kod
Ananas;kg;222
Arbuz;kg;100
Awokado Hass;kg;278
Awokado;kg;243
Banan;kg;101
Borówka amerykańska;szt;58105
Cherimoya;szt;4257
Cytryna;kg;104
Granat;kg;287
Grapefruit Różowt;kg;106
Grapefruit Swetie;kg;229
Gruszka Rocha;kg;297
Gruszka Abate;kg;279
Gruszka Kaiser;kg;994
Gruszka Konferencja 1kg;szt;68506
Gruszka Konferencja;kg;1074
Gruszka Lukasówka;kg;169
Gruszka Rocha 1kg;szt;59825
Jabłko Evelina bio 600g;szt;68805
Jabłko Golden;kg;4021
Jabłko Granny Smith;kg;4139
Jabłko Modi;kg;3629
Jabłko Polskie 1.5kg;szt;35594
Jabłko Gala 1kg;szt;61997
Jabłko Polskie Jonagold;kg;2803
Jabłko Ligol;kg;2804
Jabłko Szampion;kg;2802
Kaki Dojrzewające 2szt;szt;990
Kaki;kg;273
Kiwi Bio 4 szt;szt;67662
Kiwi Gold Opak;szt;57392
Kiwi Luz;kg;171
Kokos świeży;szt;1038
Limonka;kg;275
Malina Opak;szt;58828
Mandarynka;kg;123
Mango Dojrzałe;kg;283
Marakuja;szt;676
Melon Zielony;kg;280
Melon Biały Dino;kg;284
Melon Galia;kg;115
Melon Żółty;kg;235
Papaja;kg;1046
Physalis Opak;szt;58384
Pigwa;kg;214
Pomarańcze 2kg opak;szt;59920
Pomarańcze Deserowe;kg;128
Pomelo;kg;224
Śliwka;kg;180
Winogrono Różowe;kg;286
Winogrono Białe;kg;142
Fistaszki;kg;148
Pistacje;kg;271
Migdały Prażone;kg;288
Żurawina;kg;244
Orzechy Laskowe w Karmelu;kg;951
Orzechy Laskowe;kg;299
Orzechy Ziemne w Karmelu;kg;414
Migdały Blanszowane;kg;958
Morela Suszona;kg;165
Orzech Włoski;kg;230
